Comment,Designator,Footprint,LCSC,
100u/16V,C1,Capacitor_SMD:C_1210_3225Metric,C90143,
DNP,C3,Capacitor_SMD:C_0805_2012Metric,,
22u0/16V,"C4,C7",Capacitor_SMD:C_0805_2012Metric,C45783,
100n,"C2,C5",Capacitor_SMD:C_0805_2012Metric,C49678,
4n70,C6,Capacitor_SMD:C_0805_2012Metric,C1744,
SS54,D1,Diode_SMD:D_SMA,C22452,
LED,blau,D2,LED_SMD:LED_0805_2012Metric,C2293
MWSA0603-100MT,L1,Inductor_SMD:L_Sumida_CDMC6D28_7.25x6.5mm,C132141,
BSC022N04LSATMA,Q1,Package_TO_SOT_SMD:TDSON-8-1,C148266,
0R070,R1,Resistor_SMD:R_2512_6332Metric,C76251,
82k5,R3,Resistor_SMD:R_0805_2012Metric,C17840,
6k81,R4,Resistor_SMD:R_0805_2012Metric,C17772,
4k75,R5,Resistor_SMD:R_0805_2012Metric,C17673,
10k0,"R2,R6,R7",Resistor_SMD:R_0805_2012Metric,C17414,
CMFB103F3950FANT,R8,Resistor_SMD:R_0805_2012Metric,C51597,
MAX16820ATT,U1,buck_3a_v4:SON95P300X300X80-7N,C143371,
ATtiny45-20SU,U2,Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm,C62689,
